Text,Type,Valence,Intensity,Controllability,Utility,Timestamp
Kan du huske den?,Questions,3,-4,4,3,Sat Dec 14 2019 19:46:50 GMT+0100 (CET)
Han kan ikke løbe særlig hurtigt.,After but,-4,-2,-2,-2,Sat Dec 14 2019 19:46:51 GMT+0100 (CET)
Vi har weekend!,Simple positive,5,-5,4,5,Sat Dec 14 2019 19:46:51 GMT+0100 (CET)
Slap lig af.,Simple negative,3,-4,3,3,Sat Dec 14 2019 19:46:51 GMT+0100 (CET)
"Synes du ikke også at tiden flyver af sted, når man har det sjovt?",Questions,3,2,4,3,Sat Dec 14 2019 23:02:53 GMT+0100 (CET)
Så blev jeg syg.,After but,-2,2,-1,-1,Sat Dec 14 2019 23:02:53 GMT+0100 (CET)
Du har ikke brug for hjælp.,Not question,0,2,1,1,Sat Dec 14 2019 23:02:53 GMT+0100 (CET)
Det tror jeg ikke på.,Before but,-1,2,-2,-1,Sat Dec 14 2019 23:02:53 GMT+0100 (CET)
Gør du mig ikke lige en tjeneste?,Questions,1,1,1,1,Sat Dec 14 2019 23:02:54 GMT+0100 (CET)
Han er lidt dum.,Before but,-2,-1,-1,-2,Sat Dec 14 2019 23:02:54 GMT+0100 (CET)
"Vi glæder os til den tid, vi går i møde.",Simple positive,3,-2,3,3,Sat Dec 14 2019 23:02:55 GMT+0100 (CET)
Han kunne godt have givet en hånd med.,Before but,-1,2,-2,-1,Sat Dec 14 2019 23:02:55 GMT+0100 (CET)
"Jeg ville have stået op hele tiden, men jeg blev træt halvvejs og satte mig ned.",With but,-1,0,-1,-1,Sat Dec 14 2019 23:02:55 GMT+0100 (CET)
Hun klarede det nu meget godt.,After but,3,-1,2,3,Sat Dec 14 2019 23:02:55 GMT+0100 (CET)
Det er dig skat.,Not question,0,1,1,1,Sat Dec 14 2019 23:02:56 GMT+0100 (CET)
"Det tror jeg ikke på, men jeg har ikke en bedre forklaring selv.",With but,1,-1,1,1,Sat Dec 14 2019 23:02:56 GMT+0100 (CET)
"Det er noget af det bedste, jeg har set.",Simple positive,4,-3,4,4,Sat Dec 14 2019 23:02:56 GMT+0100 (CET)
Jeg havde det super sjovt.,Before but,5,3,5,5,Sat Dec 14 2019 23:02:56 GMT+0100 (CET)
"Før var du sjov, nu er du bare dum at høre på!!",With but,-5,5,-5,-4,Sat Dec 14 2019 23:02:56 GMT+0100 (CET)
Jeg har det ikke skidt,Simple positive,1,-1,1,1,Sat Dec 14 2019 23:02:57 GMT+0100 (CET)
Han kunne tænke sig at hjælpe til.,Not question,1,-1,2,2,Sat Dec 14 2019 23:02:57 GMT+0100 (CET)
Han kan hoppe højt.,Before but,3,3,3,3,Sat Dec 14 2019 23:02:57 GMT+0100 (CET)
De to søstre taler ikke sammen og ses sjældent.,Simple negative,-4,3,-3,-2,Sat Dec 14 2019 23:02:57 GMT+0100 (CET)
Nu er du bare dum at høre på!!,After but,-5,5,-5,-5,Sat Dec 14 2019 23:02:58 GMT+0100 (CET)
"Der er faktisk mange ældre, der heller ikke taler så kønt, og de lægger nok ikke altid mærke til det selv.",Complex sentences,-3,2,-1,-1,Sat Dec 14 2019 23:10:31 GMT+0100 (CET)
"Jeg tror ikke, hun har forstået det, men hun klarede det nu meget godt.",With but,3,2,2,1,Sat Dec 14 2019 23:10:31 GMT+0100 (CET)
Jeg blev træt halvvejs og satte mig ned.,After but,-1,-1,1,0,Sat Dec 14 2019 23:10:32 GMT+0100 (CET)
Han kunne godt have givet en hånd med.,Before but,-2,1,-1,-2,Sat Dec 14 2019 23:10:32 GMT+0100 (CET)
Hvad skal du i dag?,Questions,0,1,0,0,Sat Dec 14 2019 23:10:33 GMT+0100 (CET)
"Havde han ikke haft den tro på mig og mine evner, havde jeg aldrig troet, at det ville være en reel mulighed for mig",Complex sentences,4,3,4,5,Sat Dec 14 2019 23:10:33 GMT+0100 (CET)
Det er dit mål.,Not question,1,2,1,1,Sat Dec 14 2019 23:10:34 GMT+0100 (CET)
Det er ikke sjovt.,Simple negative,-3,-1,-2,-1,Sat Dec 14 2019 23:10:34 GMT+0100 (CET)
"Der er faktisk mange ældre, der heller ikke taler så kønt, og de lægger nok ikke altid mærke til det selv.",Complex sentences,-3,2,-2,-2,Sat Dec 14 2019 23:10:34 GMT+0100 (CET)
Vil du ikke lave det igen?,Questions,-1,2,0,-1,Sat Dec 14 2019 23:10:34 GMT+0100 (CET)
Det er ikke fornuftigt.,Simple negative,-2,2,-1,-2,Sat Dec 14 2019 23:10:35 GMT+0100 (CET)
Du har lyst til en gang frokost.,Not question,1,0,1,1,Sat Dec 14 2019 23:10:35 GMT+0100 (CET)
"Det var det, vi snakkede om.",Complex sentences,0,-1,1,1,Sat Dec 14 2019 23:10:35 GMT+0100 (CET)
Det er kraftedme en god træner!,Simple positive,4,5,5,5,Sat Dec 14 2019 23:10:36 GMT+0100 (CET)
"Før var det okay, men nu er det for galt.",With but,-4,4,-4,-5,Sat Dec 14 2019 23:10:36 GMT+0100 (CET)
"Er der noget personligt, som du ikke har haft tid til?",Questions,-1,2,-1,-1,Sat Dec 14 2019 23:10:36 GMT+0100 (CET)
Vi havde det godt.,After but,2,-3,2,1,Sat Dec 14 2019 23:10:36 GMT+0100 (CET)
Du burde gøre mere end at blande dig.,Complex sentences,-1,2,-2,-2,Sat Dec 14 2019 23:10:37 GMT+0100 (CET)
Har du tid til en kop kaffe?,Questions,0,-1,1,1,Sat Dec 14 2019 23:10:37 GMT+0100 (CET)
Han holder op.,Not question,0,2,-1,0,Sat Dec 14 2019 23:10:37 GMT+0100 (CET)
De har svært ved at forstå kritikken.,Simple negative,-2,1,-2,-1,Sun Dec 15 2019 09:20:52 GMT+0100 (CET)
Du burde gøre mere end bare at blande dig.,Complex sentences,-2,0,-2,-1,Sun Dec 15 2019 09:20:52 GMT+0100 (CET)
Han kunne godt have givet en hånd med.,Before but,-1,1,-2,-1,Sun Dec 15 2019 09:20:52 GMT+0100 (CET)
Jeg blev træt halvvejs og satte mig ned.,After but,0,-1,1,0,Sun Dec 15 2019 09:20:53 GMT+0100 (CET)
Den her er satme ikke god.,Simple negative,-4,3,-3,-3,Sun Dec 15 2019 09:20:54 GMT+0100 (CET)
Er det ikke mere praktisk at flyve?,Questions,0,1,2,1,Sun Dec 15 2019 09:20:54 GMT+0100 (CET)
Han er lidt dum.,Before but,-1,1,-1,-1,Sun Dec 15 2019 09:20:54 GMT+0100 (CET)
Jeg vil ikke prøve den løsning næste gang.,Simple negative,-2,-1,-1,-2,Sun Dec 15 2019 09:20:54 GMT+0100 (CET)
Du har nogle gode idéer.,After but,3,-3,3,3,Sun Dec 15 2019 09:20:55 GMT+0100 (CET)
"Han er lidt dum, men han er også lidt sød.",With but,1,-1,2,1,Sun Dec 15 2019 09:20:55 GMT+0100 (CET)
"Maden var god, men betjeningen var elendig.",With but,-3,2,-2,-3,Sun Dec 15 2019 09:20:55 GMT+0100 (CET)
Jeg er blank.,Before but,0,2,-1,0,Sun Dec 15 2019 09:20:56 GMT+0100 (CET)
Der var beskidt.,Before but,-2,1,-2,-1,Sun Dec 15 2019 09:20:56 GMT+0100 (CET)
"Kæft, det er bare ikke sejt.",Simple negative,-3,4,-4,-3,Sun Dec 15 2019 09:20:56 GMT+0100 (CET)
"Der er noget personligt, som du ikke har haft tid til.",Not question,-1,1,0,-1,Sun Dec 15 2019 09:20:56 GMT+0100 (CET)
Du har det godt.,Not question,2,-2,2,1,Sun Dec 15 2019 09:20:57 GMT+0100 (CET)
Det er da ikke skønt.,Simple negative,-3,1,-2,-1,Sun Dec 15 2019 09:20:57 GMT+0100 (CET)
Jeg har ikke en bedre forklaring selv.,After but,-1,-2,0,-1,Sun Dec 15 2019 09:20:57 GMT+0100 (CET)
I dag er de venner.,Simple positive,1,-2,1,1,Sun Dec 15 2019 09:20:58 GMT+0100 (CET)
"Glæder mig ikke til, vi skal afsted igen.",Simple negative,-3,-3,-2,-3,Sun Dec 15 2019 09:20:58 GMT+0100 (CET)
Er det ikke sjovt?,Questions,-2,1,-2,-2,Sun Dec 15 2019 14:19:31 GMT+0100 (CET)
Du har tid til en kop kaffe.,Not question,0,-1,1,0,Sun Dec 15 2019 14:19:31 GMT+0100 (CET)
"Der var beskidt, men vi havde det godt.",With but,3,-2,2,1,Sun Dec 15 2019 14:19:31 GMT+0100 (CET)
Vi gør det bedst.,Not question,3,1,3,3,Sun Dec 15 2019 14:19:32 GMT+0100 (CET)
Jeg endte tit med at sidde inde på kontoret og tude.,Simple negative,-4,4,-4,-4,Sun Dec 15 2019 14:19:33 GMT+0100 (CET)
"Jeg tror ikke, hun har forstået det, men hun klarede det nu meget godt.",With but,2,-2,1,0,Sun Dec 15 2019 14:19:33 GMT+0100 (CET)
Man kunne gøre det anderledes.,Not question,-1,1,1,1,Sun Dec 15 2019 14:19:34 GMT+0100 (CET)
Den bliver dårlig.,Simple negative,-4,2,-3,-4,Sun Dec 15 2019 14:19:35 GMT+0100 (CET)
"Glæder mig så meget til, vi skal afsted igen.",Simple positive,4,4,4,4,Sun Dec 15 2019 14:19:35 GMT+0100 (CET)
Hvem har flyttet den?,Questions,0,2,-1,0,Sun Dec 15 2019 14:19:35 GMT+0100 (CET)
Men hvordan gør vi bedst det?,Questions,0,1,-1,0,Sun Dec 15 2019 14:19:35 GMT+0100 (CET)
Det er ikke sjovt.,Simple negative,-3,2,-3,-3,Sun Dec 15 2019 14:19:36 GMT+0100 (CET)
"Jeg synes nu alligevel, at vi skulle tage og prøve.",Complex sentences,1,2,1,1,Sun Dec 15 2019 14:19:36 GMT+0100 (CET)
Det er ikke en klassiker.,Simple negative,-2,3,-1,-2,Sun Dec 15 2019 14:19:36 GMT+0100 (CET)
Vi er ikke til at regne med.,Simple negative,-2,2,-1,-1,Sun Dec 15 2019 14:19:37 GMT+0100 (CET)
Hvad vil du helst?,Questions,0,-1,1,1,Sun Dec 15 2019 14:19:37 GMT+0100 (CET)
"Jeg tror ikke, hun har forstået det, men hun klarede det nu meget godt.",With but,2,-2,2,3,Sun Dec 15 2019 14:19:37 GMT+0100 (CET)
"Jeg tror ikke, hun har forstået det.",Before but,-2,2,-1,-2,Sun Dec 15 2019 14:19:37 GMT+0100 (CET)
De smider desværre rigtig meget mad ud.,Simple negative,-4,3,-2,-2,Sun Dec 15 2019 14:19:38 GMT+0100 (CET)
Der var beskidt.,Before but,-3,2,-2,-1,Sun Dec 15 2019 14:19:38 GMT+0100 (CET)
Det vil spare borgerne for unødvendige fremmøder.,Simple positive,2,-3,NA,0,Sun Dec 15 2019 19:34:42 GMT+0100 (CET)
Før var du sjov.,Before but,-1,2,-2,-3,Sun Dec 15 2019 19:34:42 GMT+0100 (CET)
Dét ville man blive overrasket over.,Simple negative,1,2,NA,2,Sun Dec 15 2019 19:34:42 GMT+0100 (CET)
Det er ikke kunst.,Not question,-3,1,NA,-2,Sun Dec 15 2019 19:34:43 GMT+0100 (CET)
Folk er ikke fulde af kærlighed.,Simple negative,-4,3,-3,-4,Sun Dec 15 2019 19:34:44 GMT+0100 (CET)
"Jeg ville have stået op hele tiden, men jeg blev træt halvvejs og satte mig ned.",With but,-2,-2,NA,-1,Sun Dec 15 2019 19:34:44 GMT+0100 (CET)
Du har brug for hjælp.,Not question,-1,1,-2,1,Sun Dec 15 2019 19:34:44 GMT+0100 (CET)
Det bliver bare kedeligt.,Simple negative,-4,3,-2,-3,Sun Dec 15 2019 19:34:44 GMT+0100 (CET)
Jeg kan genkende dig.,Simple positive,3,3,1,3,Sun Dec 15 2019 19:34:44 GMT+0100 (CET)
Jeg har i mange år drømt om at have mere tid til at udforske min kunst og male.,Simple positive,2,1,NA,3,Sun Dec 15 2019 19:34:45 GMT+0100 (CET)
Har du det godt?,Questions,2,-2,NA,2,Sun Dec 15 2019 19:34:45 GMT+0100 (CET)
"Jeg synes nu alligevel, at vi skulle tage og prøve.",Complex sentences,3,2,NA,3,Sun Dec 15 2019 19:34:45 GMT+0100 (CET)
"Han kan hoppe højt, men han kan ikke løbe særlig hurtigt.",With but,-1,1,NA,-1,Sun Dec 15 2019 19:34:45 GMT+0100 (CET)
Man kunne have udfordret denne holdning.,Complex sentences,-1,2,NA,1,Sun Dec 15 2019 19:34:46 GMT+0100 (CET)
Der var beskidt.,Before but,-4,2,-2,-1,Sun Dec 15 2019 19:34:46 GMT+0100 (CET)
Det er da klart når personalet har fingrene i kagedåsen.,Simple negative,-4,3,-2,-2,Sun Dec 15 2019 19:34:46 GMT+0100 (CET)
Vi er der snart!,Simple positive,4,4,1,4,Sun Dec 15 2019 19:34:46 GMT+0100 (CET)
Det var ikke en succes.,Simple negative,-4,1,NA,-4,Sun Dec 15 2019 19:34:47 GMT+0100 (CET)
"Det er vokset hvert år, så jeg er da spændt på, hvor mange der kommer i år",Complex sentences,2,1,NA,2,Sun Dec 15 2019 19:34:47 GMT+0100 (CET)
"Der er faktisk mange ældre, der heller ikke taler så kønt, og de lægger nok ikke altid mærke til det selv.",Complex sentences,-1,1,NA,-1,Sun Dec 15 2019 19:34:47 GMT+0100 (CET)
"Jeg ville have stået op hele tiden, men jeg blev træt halvvejs og satte mig ned.",With but,-1,-2,1,-1,Sun Dec 15 2019 22:05:07 GMT+0100 (CET)
Betjeningen var elendig.,After but,-4,3,-4,-4,Sun Dec 15 2019 22:05:08 GMT+0100 (CET)
"Hvis du ikke kan forstå mine beskeder, kan du så forstå denne?",Questions,-2,3,-2,-1,Sun Dec 15 2019 22:05:08 GMT+0100 (CET)
Det var sådan du havde det.,Not question,0,-1,1,0,Sun Dec 15 2019 22:05:08 GMT+0100 (CET)
Jeg har ikke en bedre forklaring selv.,After but,-1,-2,-1,0,Sun Dec 15 2019 22:05:09 GMT+0100 (CET)
Du er også i gang.,Not question,1,2,1,1,Sun Dec 15 2019 22:05:10 GMT+0100 (CET)
"Før var du sjov, nu er du bare dum at høre på!!",With but,-5,5,-5,-5,Sun Dec 15 2019 22:05:10 GMT+0100 (CET)
Det er ikke velfortjent.,Simple negative,-4,-2,-3,-4,Sun Dec 15 2019 22:05:10 GMT+0100 (CET)
"Det er vokset hvert år, så jeg er da spændt på, hvor mange der kommer i år",Complex sentences,2,3,3,3,Sun Dec 15 2019 22:05:11 GMT+0100 (CET)
"Før var du sjov, nu er du bare dum at høre på!!",With but,-5,5,-5,-5,Sun Dec 15 2019 22:05:11 GMT+0100 (CET)
"Jeg synes nu alligevel, at vi skulle tage og prøve.",Complex sentences,1,-1,1,1,Sun Dec 15 2019 22:05:12 GMT+0100 (CET)
Du har lyst til en gang frokost.,Not question,0,2,1,1,Sun Dec 15 2019 22:05:12 GMT+0100 (CET)
Det er sjovt.,Simple positive,3,3,3,3,Sun Dec 15 2019 22:05:12 GMT+0100 (CET)
Man kunne ikke gøre det anderledes.,Not question,-1,-2,-1,-1,Sun Dec 15 2019 22:05:13 GMT+0100 (CET)
Hvornår holder han op?,Questions,-3,3,-2,-2,Sun Dec 15 2019 22:05:13 GMT+0100 (CET)
Jeg har ikke haft et ret vildt år.,Simple negative,-3,-1,-1,-2,Sun Dec 15 2019 22:05:13 GMT+0100 (CET)
Nogle gange forvirrer du mig.,Simple negative,0,1,-1,0,Sun Dec 15 2019 22:05:14 GMT+0100 (CET)
Den her er satme ikke god.,Simple negative,-4,3,-4,-4,Sun Dec 15 2019 22:05:14 GMT+0100 (CET)
"Du synes også at tiden flyver af sted, når man har det sjovt.",Not question,1,2,1,0,Sun Dec 15 2019 22:05:15 GMT+0100 (CET)
Dit humør og din livskvalitet bliver også påvirket,Complex sentences,0,4,-1,0,Sun Dec 15 2019 22:05:15 GMT+0100 (CET)
"Jeg afprøvede en drøm om at blive tatovør, men det skulle ikke være mig lige nu.",Complex sentences,-2,2,3,-2,Sun Dec 15 2019 23:49:31 GMT+0100 (CET)
I dag er de gode venner,Simple positive,3,-4,2,5,Sun Dec 15 2019 23:49:31 GMT+0100 (CET)
Den stakkels landmand må få en traktor.,Not question,2,-3,3,3,Sun Dec 15 2019 23:49:31 GMT+0100 (CET)
Det er ikke sjovt.,Simple negative,-4,3,-4,-3,Sun Dec 15 2019 23:49:31 GMT+0100 (CET)
Han kan ikke løbe særlig hurtigt.,After but,-3,2,-1,-1,Sun Dec 15 2019 23:49:32 GMT+0100 (CET)
Jeg er blank.,Before but,-3,3,-3,-2,Sun Dec 15 2019 23:49:32 GMT+0100 (CET)
Den stakkels landmand må få en traktor.,Not question,2,-3,3,3,Sun Dec 15 2019 23:49:33 GMT+0100 (CET)
Var det sådan du havde det?,Questions,1,-3,2,2,Sun Dec 15 2019 23:49:33 GMT+0100 (CET)
Han havde ikke lyst.,After but,-4,2,-4,-3,Sun Dec 15 2019 23:49:33 GMT+0100 (CET)
Jeg havde ikke forventet mere.,Simple negative,2,-2,3,3,Sun Dec 15 2019 23:49:33 GMT+0100 (CET)
Flere biler er kørt sammen.,Simple negative,-3,3,-5,-4,Sun Dec 15 2019 23:49:34 GMT+0100 (CET)
Du har en mening om alt.,Simple negative,2,-2,-2,2,Sun Dec 15 2019 23:49:34 GMT+0100 (CET)
Har du det godt?,Questions,3,4,3,3,Sun Dec 15 2019 23:49:35 GMT+0100 (CET)
"Det er vokset hvert år, så jeg er da spændt på, hvor mange der kommer i år",Complex sentences,4,-4,-1,3,Sun Dec 15 2019 23:49:35 GMT+0100 (CET)
"Hvad siger du til, at snuppe en øl med mig?",Questions,3,4,2,0,Sun Dec 15 2019 23:49:35 GMT+0100 (CET)
"Ingen kan være i tvivl om, at det ikke er fortjent",Simple negative,-3,4,-4,-3,Sun Dec 15 2019 23:49:36 GMT+0100 (CET)
"Nu er det også de helt små børn, der begynder at sige grimme ord, uden at de kender betydningen af ordene.",Complex sentences,-5,4,-5,-4,Sun Dec 15 2019 23:49:37 GMT+0100 (CET)
Den stakkels landmand må få en traktor.,Not question,2,-3,3,3,Sun Dec 15 2019 23:49:37 GMT+0100 (CET)
Du vil med ind og se ham.,Not question,2,-2,4,0,Sun Dec 15 2019 23:49:38 GMT+0100 (CET)
Du har ikke kun koncentreret dig om udviklingen.,Not question,3,-3,5,4,Sun Dec 15 2019 23:49:39 GMT+0100 (CET)
Var det sådan du havde det?,Questions,1,-3,2,2,Sun Dec 15 2019 23:49:39 GMT+0100 (CET)
Han havde ikke lyst.,After but,-4,2,-4,-3,Sun Dec 15 2019 23:49:40 GMT+0100 (CET)
Jeg havde ikke forventet mere.,Simple negative,2,-2,3,3,Sun Dec 15 2019 23:49:40 GMT+0100 (CET)
Flere biler er kørt sammen.,Simple negative,-3,3,-5,-4,Sun Dec 15 2019 23:49:41 GMT+0100 (CET)
Du har en mening om alt.,Simple negative,2,-2,-2,2,Sun Dec 15 2019 23:49:42 GMT+0100 (CET)
Har du det godt?,Questions,3,4,3,3,Sun Dec 15 2019 23:49:42 GMT+0100 (CET)
"Det er vokset hvert år, så jeg er da spændt på, hvor mange der kommer i år",Complex sentences,4,-4,-1,3,Sun Dec 15 2019 23:49:42 GMT+0100 (CET)
"Hvad siger du til, at snuppe en øl med mig?",Questions,3,4,2,0,Sun Dec 15 2019 23:49:43 GMT+0100 (CET)
"Ingen kan være i tvivl om, at det ikke er fortjent",Simple negative,-3,4,-4,-3,Sun Dec 15 2019 23:49:43 GMT+0100 (CET)
"Nu er det også de helt små børn, der begynder at sige grimme ord, uden at de kender betydningen af ordene.",Complex sentences,-5,4,-5,-4,Sun Dec 15 2019 23:49:43 GMT+0100 (CET)
Den stakkels landmand må få en traktor.,Not question,2,-3,3,3,Sun Dec 15 2019 23:49:44 GMT+0100 (CET)
Du vil med ind og se ham.,Not question,2,-2,4,0,Sun Dec 15 2019 23:49:44 GMT+0100 (CET)
Du har ikke kun koncentreret dig om udviklingen.,Not question,3,-3,5,4,Sun Dec 15 2019 23:49:44 GMT+0100 (CET)
"Jeg afprøvede en drøm om at blive tatovør, men det skulle ikke være mig lige nu.",Complex sentences,-2,2,3,-2,Sun Dec 15 2019 23:49:45 GMT+0100 (CET)
I dag er de gode venner,Simple positive,3,-4,2,5,Sun Dec 15 2019 23:49:45 GMT+0100 (CET)
Den stakkels landmand må få en traktor.,Not question,2,-3,3,3,Sun Dec 15 2019 23:49:46 GMT+0100 (CET)
Det er ikke sjovt.,Simple negative,-4,3,-4,-3,Sun Dec 15 2019 23:49:46 GMT+0100 (CET)
Han kan ikke løbe særlig hurtigt.,After but,-3,2,-1,-1,Sun Dec 15 2019 23:49:46 GMT+0100 (CET)
Jeg er blank.,Before but,-3,3,-3,-2,Sun Dec 15 2019 23:49:47 GMT+0100 (CET)
Den stakkels landmand må få en traktor.,Not question,2,-3,3,3,Sun Dec 15 2019 23:49:47 GMT+0100 (CET)
Var det sådan du havde det?,Questions,1,-3,2,2,Sun Dec 15 2019 23:49:48 GMT+0100 (CET)
Han havde ikke lyst.,After but,-4,2,-4,-3,Sun Dec 15 2019 23:49:48 GMT+0100 (CET)
Jeg havde ikke forventet mere.,Simple negative,2,-2,3,3,Sun Dec 15 2019 23:49:49 GMT+0100 (CET)
Flere biler er kørt sammen.,Simple negative,-3,3,-5,-4,Sun Dec 15 2019 23:49:49 GMT+0100 (CET)
Du har en mening om alt.,Simple negative,2,-2,-2,2,Sun Dec 15 2019 23:49:49 GMT+0100 (CET)
Har du det godt?,Questions,3,4,3,3,Sun Dec 15 2019 23:49:50 GMT+0100 (CET)
"Det er vokset hvert år, så jeg er da spændt på, hvor mange der kommer i år",Complex sentences,4,-4,-1,3,Sun Dec 15 2019 23:49:50 GMT+0100 (CET)
"Hvad siger du til, at snuppe en øl med mig?",Questions,3,4,2,0,Sun Dec 15 2019 23:49:50 GMT+0100 (CET)
"Ingen kan være i tvivl om, at det ikke er fortjent",Simple negative,-3,4,-4,-3,Sun Dec 15 2019 23:49:51 GMT+0100 (CET)
"Nu er det også de helt små børn, der begynder at sige grimme ord, uden at de kender betydningen af ordene.",Complex sentences,-5,4,-5,-4,Sun Dec 15 2019 23:49:51 GMT+0100 (CET)
Den stakkels landmand må få en traktor.,Not question,2,-3,3,3,Sun Dec 15 2019 23:49:52 GMT+0100 (CET)
Du vil med ind og se ham.,Not question,2,-2,4,0,Sun Dec 15 2019 23:49:52 GMT+0100 (CET)
Du har ikke kun koncentreret dig om udviklingen.,Not question,3,-3,5,4,Sun Dec 15 2019 23:49:52 GMT+0100 (CET)
Han kan hoppe højt.,Before but,2,3,2,2,Mon Dec 16 2019 13:24:55 GMT+0100 (CET)
Han havde ikke lyst.,After but,-2,-1,-1,-1,Mon Dec 16 2019 13:24:55 GMT+0100 (CET)
Det havde jeg helt glemt.,Simple negative,-1,3,0,0,Mon Dec 16 2019 13:24:55 GMT+0100 (CET)
Jeg har ikke en bedre forklaring selv.,After but,0,1,-1,-1,Mon Dec 16 2019 13:24:56 GMT+0100 (CET)
Betjeningen var elendig.,After but,-4,4,-3,-3,Mon Dec 16 2019 13:24:58 GMT+0100 (CET)
Vi er ikke godt på vej.,Simple negative,-3,3,-1,-2,Mon Dec 16 2019 13:24:58 GMT+0100 (CET)
Jeg blev træt halvvejs og satte mig ned.,After but,-1,-1,0,0,Mon Dec 16 2019 13:24:59 GMT+0100 (CET)
Jeg havde det super sjovt.,Before but,4,2,4,4,Mon Dec 16 2019 13:24:59 GMT+0100 (CET)
Har du brug for hjælp?,Questions,1,2,1,2,Mon Dec 16 2019 13:24:59 GMT+0100 (CET)
Jeg vil prøve den løsning næste gang.,Simple positive,1,-1,1,1,Mon Dec 16 2019 13:24:59 GMT+0100 (CET)
Er det sjovt?,Questions,0,1,1,1,Mon Dec 16 2019 13:25:00 GMT+0100 (CET)
Jeg har det ikke skidt,Simple positive,1,-2,2,2,Mon Dec 16 2019 13:25:00 GMT+0100 (CET)
"Han er lidt dum, men han er også lidt sød.",With but,1,-1,2,1,Mon Dec 16 2019 13:25:00 GMT+0100 (CET)
"Hun er ikke i tvivl om, at det er opbakningen, som har fået hende på rette spor.",Complex sentences,3,-3,3,4,Mon Dec 16 2019 13:25:01 GMT+0100 (CET)
Tror du ikke på mig?,Questions,-2,4,-3,-3,Mon Dec 16 2019 13:25:01 GMT+0100 (CET)
Du har nogle gode idéer.,After but,2,-3,3,3,Mon Dec 16 2019 13:25:01 GMT+0100 (CET)
Han holder op.,Not question,0,2,1,-1,Mon Dec 16 2019 13:25:02 GMT+0100 (CET)
Før var du sjov.,Before but,-2,3,-2,-3,Mon Dec 16 2019 13:25:02 GMT+0100 (CET)
Vi er godt på vej,Simple positive,3,-3,3,3,Mon Dec 16 2019 13:25:02 GMT+0100 (CET)
"Han kan hoppe højt, men han kan ikke løbe særlig hurtigt.",With but,0,3,2,0,Mon Dec 16 2019 13:25:03 GMT+0100 (CET)
"Han er lidt dum, men han er også lidt sød.",With but,1,-1,1,0,Mon Dec 16 2019 14:25:03 GMT+0100 (CET)
Jeg har forsøgt at få den idé ud i verden,Complex sentences,1,3,2,2,Mon Dec 16 2019 14:25:03 GMT+0100 (CET)
Du burde gøre mere end bare at blande dig.,Complex sentences,-3,4,-4,-2,Mon Dec 16 2019 14:25:03 GMT+0100 (CET)
Jeg havde det super sjovt.,Before but,4,2,4,4,Mon Dec 16 2019 14:25:04 GMT+0100 (CET)
Du har nogle gode idéer.,After but,3,-2,3,3,Mon Dec 16 2019 14:25:04 GMT+0100 (CET)
Jeg havde forventet mere.,Simple negative,-2,-1,-1,-3,Mon Dec 16 2019 14:25:04 GMT+0100 (CET)
Han er også lidt sød.,After but,2,-1,2,3,Mon Dec 16 2019 14:25:05 GMT+0100 (CET)
Vi kan ikke den dag.,Simple negative,0,1,-1,0,Mon Dec 16 2019 14:25:05 GMT+0100 (CET)
"Der var beskidt, men vi havde det godt.",With but,2,-2,3,2,Mon Dec 16 2019 14:25:05 GMT+0100 (CET)
"Det var det, vi snakkede om.",Complex sentences,0,0,0,0,Mon Dec 16 2019 14:25:05 GMT+0100 (CET)
Han kan hoppe højt.,Before but,2,3,1,1,Mon Dec 16 2019 14:25:06 GMT+0100 (CET)
Jeg kan ikke lide at tale med dem.,Simple negative,-3,3,-2,-3,Mon Dec 16 2019 14:25:06 GMT+0100 (CET)
"Før var du sjov, nu er du bare dum at høre på!!",With but,-5,5,-5,-4,Mon Dec 16 2019 14:25:06 GMT+0100 (CET)
Jeg er stadig målløs,Simple negative,0,3,-1,0,Mon Dec 16 2019 14:25:06 GMT+0100 (CET)
Har du viljestyrke og charme tilovers?,Questions,2,2,0,0,Mon Dec 16 2019 14:25:07 GMT+0100 (CET)
Hvad vil du helst?,Questions,0,2,0,0,Mon Dec 16 2019 14:25:07 GMT+0100 (CET)
Hvad skal vi lige gøre ved det?,Questions,-2,3,-1,0,Mon Dec 16 2019 14:25:07 GMT+0100 (CET)
Han havde ikke lyst.,After but,-2,-1,-1,0,Mon Dec 16 2019 14:25:07 GMT+0100 (CET)
"Jeg kan mærke, at det ikke er for længe siden.",Simple negative,1,-2,1,1,Mon Dec 16 2019 14:25:08 GMT+0100 (CET)
Han holder snart op.,Not question,0,-1,0,0,Mon Dec 16 2019 14:25:08 GMT+0100 (CET)
Det virker ikke.,Not question,-2,2,-3,-3,Tue Dec 17 2019 10:30:37 GMT+0100 (CET)
Hvad skal vi lige gøre ved det?,Questions,-1,0,-2,0,Tue Dec 17 2019 10:30:37 GMT+0100 (CET)
Det er ikke vildt spændende.,Simple negative,-1,-2,0,-1,Tue Dec 17 2019 10:30:37 GMT+0100 (CET)
Det er det jeg skal have.,Simple positive,0,-2,3,2,Tue Dec 17 2019 10:30:38 GMT+0100 (CET)
Du er ikke skør.,Simple positive,2,-4,3,3,Tue Dec 17 2019 10:30:38 GMT+0100 (CET)
Før var du sjov.,Before but,-3,1,-2,-3,Tue Dec 17 2019 10:30:38 GMT+0100 (CET)
